"source","model_rep","subset_id","removal_fraction","site_rep","n_sites_kept","n_observed_links","n_cooc_links","expected_links_raw","expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned"
"empirical",NA,122,0.2,21,273,851,2894,760.764497109789,796.094733579036,90.2355028902106,0.118611611389626,54.9052664209636,0.068968257300389
"empirical",NA,123,0.2,22,273,833,2723,705.889219166318,742.835811607674,127.110780833682,0.180071854594698,90.1641883923256,0.121378354386535
"empirical",NA,124,0.2,23,273,819,2766,729.187417855468,762.657763657647,89.8125821445324,0.123168036015583,56.3422363423529,0.0738761722848528
"empirical",NA,125,0.2,24,273,863,2895,792.746187588751,826.673485889826,70.2538124112489,0.0886208139643481,36.3265141101743,0.0439430013544861
"empirical",NA,126,0.2,25,273,875,2911,776.392313749103,815.351936116942,98.6076862508969,0.127007550827922,59.6480638830578,0.0731562178746121
"empirical",NA,127,0.2,26,273,863,2912,785.941227242968,822.352643279575,77.0587727570321,0.0980464824670789,40.6473567204254,0.0494281340889501
"empirical",NA,128,0.2,27,273,870,2950,786.498134054617,823.040329376542,83.5018659453829,0.106169185062026,46.9596706234576,0.0570563421345704
"empirical",NA,129,0.2,28,273,835,2699,735.16863155138,769.514860752993,99.8313684486203,0.135793835814176,65.4851392470066,0.0850992522521624
"empirical",NA,130,0.2,29,273,870,2928,793.454435341512,831.634595746587,76.5455646584884,0.0964712795707574,38.3654042534134,0.0461325255702855
"empirical",NA,131,0.2,30,273,838,2862,762.379697485827,797.720682274203,75.6203025141726,0.099189816784934,40.2793177257967,0.0504930091707856
"empirical",NA,132,0.2,31,273,834,2783,733.424966493191,769.121042611158,100.575033506809,0.137130637899743,64.8789573888419,0.0843546773451659
"empirical",NA,133,0.2,32,273,863,2908,785.323198560414,819.506670558871,77.6768014395857,0.0989106161411964,43.4933294411287,0.0530725752500196
"empirical",NA,134,0.2,33,273,825,2784,737.700132685762,772.130033789012,87.2998673142379,0.118340587789246,52.8699662109876,0.0684728787864177
"empirical",NA,135,0.2,34,273,835,2748,735.279561428433,768.882697443159,99.7204385715668,0.135622481301995,66.117302556841,0.0859914038600521
"empirical",NA,136,0.2,35,273,840,2849,776.238457759928,814.553464810611,63.7615422400715,0.0821416944788781,25.4465351893888,0.0312398587553799
"empirical",NA,137,0.2,36,273,841,2779,748.416221971683,784.040590787537,92.5837780283171,0.12370626839756,56.9594092124635,0.0726485463657565
"empirical",NA,138,0.2,37,273,835,2878,774.3820958742,810.508843765189,60.6179041258,0.078279062040256,24.4911562348107,0.0302170129582274
"empirical",NA,139,0.2,38,273,856,2869,771.613443259845,804.724883224675,84.3865567401551,0.109363772076917,51.2751167753254,0.0637175733523449
"empirical",NA,140,0.2,39,273,844,2860,751.419043177509,787.628915688085,92.5809568224912,0.123208158833713,56.371084311915,0.0715706129994838
"empirical",NA,141,0.2,40,273,872,2921,774.688299340539,811.531990145818,97.3117006594609,0.125614005971561,60.4680098541816,0.0745109380633492
"empirical",NA,142,0.2,41,273,825,2765,729.826028533287,768.15597591773,95.1739714667128,0.130406381446797,56.8440240822702,0.074000627300149
"empirical",NA,143,0.2,42,273,851,2867,783.213585173619,817.51076027609,67.7864148263808,0.0865490794715393,33.48923972391,0.0409648916579398
"empirical",NA,144,0.2,43,273,833,2754,737.700314835669,772.197914902233,95.2996851643311,0.12918482376622,60.8020850977667,0.0787389915517511
"empirical",NA,145,0.2,44,273,857,2841,765.977036310064,801.458032381347,91.0229636899363,0.118832496765726,55.5419676186534,0.0693011553625875
"empirical",NA,146,0.2,45,273,817,2655,730.589294774571,767.348618688652,86.4107052254287,0.118275350930363,49.6513813113479,0.0647051159044227
"empirical",NA,147,0.2,46,273,861,2896,774.496650057282,810.035576605901,86.5033499427178,0.11168976642613,50.9644233940988,0.0629162778351574
"empirical",NA,148,0.2,47,273,856,2852,750.138439478976,787.721153763167,105.861560521024,0.141122698090972,68.2788462368333,0.086678954742609
"empirical",NA,149,0.2,48,273,869,2867,757.812045292772,793.37895440997,111.187954707228,0.146722337547791,75.6210455900305,0.0953151645499209
