"","species","interactions","outdegree","rep"
"514","Plant5",3,19,37
"515","Plant6",22,8,37
"516","Plant7",6,1,37
"517","Plant8",9,6,37
"518","Plant9",6,7,37
"519","Plant1",6,39,38
"520","Plant10",4,5,38
"521","Plant11",12,15,38
"522","Plant12",3,7,38
"523","Plant13",3,4,38
"524","Plant14",1,2,38
"525","Plant2",50,13,38
"526","Plant3",27,13,38
"527","Plant4",11,15,38
"528","Plant5",3,10,38
"529","Plant6",22,8,38
"530","Plant7",6,2,38
"531","Plant8",9,4,38
"532","Plant9",6,9,38
"533","Plant1",6,28,39
"534","Plant10",4,3,39
"535","Plant11",12,7,39
"536","Plant12",3,11,39
"537","Plant13",3,5,39
"538","Plant14",1,0,39
"539","Plant2",50,22,39
"540","Plant3",27,9,39
"541","Plant4",11,17,39
"542","Plant5",3,13,39
"543","Plant6",22,10,39
"544","Plant7",6,3,39
"545","Plant8",9,11,39
"546","Plant9",6,10,39
"547","Plant1",6,42,40
"548","Plant10",4,4,40
"549","Plant11",12,14,40
"550","Plant12",3,1,40
"551","Plant13",3,1,40
"552","Plant14",1,1,40
"553","Plant2",50,15,40
"554","Plant3",27,10,40
"555","Plant4",11,13,40
"556","Plant5",3,11,40
"557","Plant6",22,12,40
"558","Plant7",6,2,40
"559","Plant8",9,9,40
"560","Plant9",6,3,40
"561","Plant1",6,39,41
"562","Plant10",4,2,41
"563","Plant11",12,7,41
"564","Plant12",3,8,41
"565","Plant13",3,3,41
"566","Plant14",1,1,41
"567","Plant2",50,23,41
"568","Plant3",27,15,41
"569","Plant4",11,14,41
"570","Plant5",3,11,41
"571","Plant6",22,14,41
"572","Plant7",6,1,41
"573","Plant8",9,8,41
"574","Plant9",6,8,41
"575","Plant1",6,32,42
"576","Plant10",4,3,42
"577","Plant11",12,9,42
"578","Plant12",3,6,42
"579","Plant13",3,2,42
"580","Plant14",1,5,42
"581","Plant2",50,20,42
"582","Plant3",27,15,42
"583","Plant4",11,12,42
"584","Plant5",3,14,42
"585","Plant6",22,9,42
"586","Plant7",6,0,42
"587","Plant8",9,4,42
"588","Plant9",6,7,42
"589","Plant1",6,42,43
"590","Plant10",4,3,43
"591","Plant11",12,11,43
"592","Plant12",3,7,43
"593","Plant13",3,2,43
"594","Plant14",1,1,43
"595","Plant2",50,20,43
"596","Plant3",27,11,43
"597","Plant4",11,10,43
"598","Plant5",3,10,43
"599","Plant6",22,11,43
"600","Plant7",6,0,43
"601","Plant8",9,8,43
"602","Plant9",6,9,43
"603","Plant1",6,48,44
"604","Plant10",4,5,44
"605","Plant11",12,9,44
"606","Plant12",3,5,44
"607","Plant13",3,3,44
"608","Plant14",1,2,44
"609","Plant2",50,17,44
"610","Plant3",27,12,44
"611","Plant4",11,8,44
"612","Plant5",3,12,44
"613","Plant6",22,9,44
"614","Plant7",6,2,44
"615","Plant8",9,8,44
"616","Plant9",6,6,44
"617","Plant1",6,36,45
"618","Plant10",4,6,45
"619","Plant11",12,12,45
"620","Plant12",3,9,45
"621","Plant13",3,4,45
"622","Plant14",1,2,45
"623","Plant2",50,18,45
"624","Plant3",27,15,45
"625","Plant4",11,15,45
"626","Plant5",3,16,45
"627","Plant6",22,15,45
"628","Plant7",6,2,45
"629","Plant8",9,7,45
"630","Plant9",6,9,45
"631","Plant1",6,35,46
"632","Plant10",4,5,46
"633","Plant11",12,6,46
"634","Plant12",3,6,46
"635","Plant13",3,4,46
"636","Plant14",1,2,46
"637","Plant2",50,18,46
"638","Plant3",27,15,46
"639","Plant4",11,9,46
"640","Plant5",3,10,46
"641","Plant6",22,10,46
"642","Plant7",6,5,46
"643","Plant8",9,12,46
"644","Plant9",6,11,46
"645","Plant1",6,50,47
"646","Plant10",4,6,47
"647","Plant11",12,11,47
"648","Plant12",3,7,47
"649","Plant13",3,6,47
"650","Plant14",1,3,47
"651","Plant2",50,9,47
"652","Plant3",27,12,47
"653","Plant4",11,8,47
"654","Plant5",3,11,47
"655","Plant6",22,13,47
"656","Plant7",6,2,47
"657","Plant8",9,7,47
"658","Plant9",6,10,47
"659","Plant1",6,46,48
"660","Plant10",4,6,48
"661","Plant11",12,8,48
"662","Plant12",3,5,48
"663","Plant13",3,2,48
"664","Plant14",1,1,48
"665","Plant2",50,14,48
"666","Plant3",27,21,48
"667","Plant4",11,17,48
"668","Plant5",3,11,48
"669","Plant6",22,15,48
"670","Plant7",6,1,48
"671","Plant8",9,9,48
"672","Plant9",6,12,48
"673","Plant1",6,44,49
"674","Plant10",4,6,49
"675","Plant11",12,14,49
"676","Plant12",3,5,49
"677","Plant13",3,2,49
"678","Plant14",1,8,49
"679","Plant2",50,13,49
"680","Plant3",27,16,49
"681","Plant4",11,10,49
"682","Plant5",3,10,49
"683","Plant6",22,8,49
"684","Plant7",6,1,49
"685","Plant8",9,12,49
"686","Plant9",6,7,49
"687","Plant1",6,33,50
"688","Plant10",4,6,50
"689","Plant11",12,10,50
"690","Plant12",3,7,50
"691","Plant13",3,0,50
"692","Plant14",1,1,50
"693","Plant2",50,14,50
"694","Plant3",27,14,50
"695","Plant4",11,15,50
"696","Plant5",3,13,50
"697","Plant6",22,10,50
"698","Plant7",6,1,50
"699","Plant8",9,11,50
"700","Plant9",6,9,50
"701","Plant1",6,40,51
"702","Plant10",4,7,51
"703","Plant11",12,12,51
"704","Plant12",3,11,51
"705","Plant13",3,5,51
"706","Plant14",1,2,51
"707","Plant2",50,18,51
"708","Plant3",27,19,51
"709","Plant4",11,11,51
"710","Plant5",3,15,51
"711","Plant6",22,16,51
"712","Plant7",6,0,51
"713","Plant8",9,5,51
"714","Plant9",6,9,51
"715","Plant1",6,34,52
"716","Plant10",4,3,52
"717","Plant11",12,11,52
"718","Plant12",3,7,52
"719","Plant13",3,6,52
"720","Plant14",1,0,52
"721","Plant2",50,18,52
"722","Plant3",27,14,52
"723","Plant4",11,9,52
"724","Plant5",3,13,52
"725","Plant6",22,7,52
"726","Plant7",6,2,52
"727","Plant8",9,5,52
"728","Plant9",6,11,52
"729","Plant1",6,44,53
"730","Plant10",4,7,53
"731","Plant11",12,12,53
"732","Plant12",3,10,53
"733","Plant13",3,3,53
"734","Plant14",1,3,53
"735","Plant2",50,20,53
"736","Plant3",27,12,53
"737","Plant4",11,17,53
"738","Plant5",3,14,53
"739","Plant6",22,10,53
"740","Plant7",6,0,53
"741","Plant8",9,10,53
"742","Plant9",6,4,53
"743","Plant1",6,41,54
"744","Plant10",4,4,54
"745","Plant11",12,8,54
"746","Plant12",3,4,54
"747","Plant13",3,0,54
"748","Plant14",1,0,54
"749","Plant2",50,17,54
"750","Plant3",27,10,54
"751","Plant4",11,13,54
"752","Plant5",3,11,54
"753","Plant6",22,11,54
"754","Plant7",6,3,54
"755","Plant8",9,6,54
"756","Plant9",6,9,54
"757","Plant1",6,38,55
"758","Plant10",4,5,55
"759","Plant11",12,10,55
"760","Plant12",3,11,55
"761","Plant13",3,6,55
"762","Plant14",1,1,55
"763","Plant2",50,19,55
"764","Plant3",27,5,55
"765","Plant4",11,8,55
"766","Plant5",3,11,55
"767","Plant6",22,10,55
"768","Plant7",6,1,55
"769","Plant8",9,11,55
"770","Plant9",6,8,55
"771","Plant1",6,32,56
"772","Plant10",4,7,56
"773","Plant11",12,9,56
"774","Plant12",3,6,56
"775","Plant13",3,2,56
"776","Plant14",1,1,56
"777","Plant2",50,18,56
"778","Plant3",27,16,56
"779","Plant4",11,17,56
"780","Plant5",3,11,56
"781","Plant6",22,13,56
"782","Plant7",6,1,56
"783","Plant8",9,10,56
"784","Plant9",6,11,56
"785","Plant1",6,47,57
"786","Plant10",4,2,57
"787","Plant11",12,9,57
"788","Plant12",3,7,57
"789","Plant13",3,3,57
"790","Plant14",1,1,57
"791","Plant2",50,17,57
"792","Plant3",27,13,57
"793","Plant4",11,14,57
"794","Plant5",3,12,57
"795","Plant6",22,12,57
"796","Plant7",6,1,57
"797","Plant8",9,10,57
"798","Plant9",6,3,57
"799","Plant1",6,40,58
"800","Plant10",4,6,58
"801","Plant11",12,12,58
"802","Plant12",3,7,58
"803","Plant13",3,2,58
"804","Plant14",1,4,58
"805","Plant2",50,14,58
"806","Plant3",27,7,58
"807","Plant4",11,11,58
"808","Plant5",3,15,58
"809","Plant6",22,10,58
"810","Plant7",6,4,58
"811","Plant8",9,9,58
"812","Plant9",6,11,58
"813","Plant1",6,34,59
"814","Plant10",4,5,59
"815","Plant11",12,14,59
"816","Plant12",3,9,59
"817","Plant13",3,2,59
"818","Plant14",1,1,59
"819","Plant2",50,12,59
"820","Plant3",27,9,59
"821","Plant4",11,7,59
"822","Plant5",3,10,59
"823","Plant6",22,9,59
"824","Plant7",6,3,59
"825","Plant8",9,8,59
"826","Plant9",6,13,59
"827","Plant1",6,35,60
"828","Plant10",4,4,60
"829","Plant11",12,7,60
"830","Plant12",3,4,60
"831","Plant13",3,1,60
"832","Plant14",1,2,60
"833","Plant2",50,27,60
"834","Plant3",27,14,60
"835","Plant4",11,13,60
"836","Plant5",3,11,60
"837","Plant6",22,10,60
"838","Plant7",6,0,60
"839","Plant8",9,7,60
"840","Plant9",6,15,60
"841","Plant1",6,48,61
"842","Plant10",4,2,61
"843","Plant11",12,7,61
"844","Plant12",3,6,61
"845","Plant13",3,1,61
"846","Plant14",1,1,61
"847","Plant2",50,15,61
"848","Plant3",27,18,61
"849","Plant4",11,10,61
"850","Plant5",3,18,61
