"","species","interactions","outdegree","rep"
"720","Plant14",1,5,52
"721","Plant2",50,18,52
"722","Plant3",27,14,52
"723","Plant4",11,12,52
"724","Plant5",3,8,52
"725","Plant6",22,17,52
"726","Plant7",6,4,52
"727","Plant8",9,10,52
"728","Plant9",6,8,52
"729","Plant1",6,27,53
"730","Plant10",4,8,53
"731","Plant11",12,13,53
"732","Plant12",3,18,53
"733","Plant13",3,10,53
"734","Plant14",1,8,53
"735","Plant2",50,8,53
"736","Plant3",27,15,53
"737","Plant4",11,11,53
"738","Plant5",3,11,53
"739","Plant6",22,13,53
"740","Plant7",6,3,53
"741","Plant8",9,8,53
"742","Plant9",6,13,53
"743","Plant1",6,24,54
"744","Plant10",4,3,54
"745","Plant11",12,10,54
"746","Plant12",3,14,54
"747","Plant13",3,10,54
"748","Plant14",1,6,54
"749","Plant2",50,17,54
"750","Plant3",27,10,54
"751","Plant4",11,16,54
"752","Plant5",3,11,54
"753","Plant6",22,12,54
"754","Plant7",6,3,54
"755","Plant8",9,6,54
"756","Plant9",6,17,54
"757","Plant1",6,30,55
"758","Plant10",4,5,55
"759","Plant11",12,13,55
"760","Plant12",3,9,55
"761","Plant13",3,8,55
"762","Plant14",1,5,55
"763","Plant2",50,16,55
"764","Plant3",27,12,55
"765","Plant4",11,18,55
"766","Plant5",3,14,55
"767","Plant6",22,15,55
"768","Plant7",6,4,55
"769","Plant8",9,7,55
"770","Plant9",6,13,55
"771","Plant1",6,27,56
"772","Plant10",4,5,56
"773","Plant11",12,14,56
"774","Plant12",3,6,56
"775","Plant13",3,9,56
"776","Plant14",1,8,56
"777","Plant2",50,14,56
"778","Plant3",27,16,56
"779","Plant4",11,17,56
"780","Plant5",3,13,56
"781","Plant6",22,19,56
"782","Plant7",6,3,56
"783","Plant8",9,12,56
"784","Plant9",6,11,56
"785","Plant1",6,33,57
"786","Plant10",4,7,57
"787","Plant11",12,13,57
"788","Plant12",3,12,57
"789","Plant13",3,4,57
"790","Plant14",1,3,57
"791","Plant2",50,16,57
"792","Plant3",27,10,57
"793","Plant4",11,16,57
"794","Plant5",3,16,57
"795","Plant6",22,8,57
"796","Plant7",6,2,57
"797","Plant8",9,15,57
"798","Plant9",6,9,57
"799","Plant1",6,27,58
"800","Plant10",4,11,58
"801","Plant11",12,10,58
"802","Plant12",3,7,58
"803","Plant13",3,6,58
"804","Plant14",1,2,58
"805","Plant2",50,15,58
"806","Plant3",27,14,58
"807","Plant4",11,13,58
"808","Plant5",3,17,58
"809","Plant6",22,11,58
"810","Plant7",6,3,58
"811","Plant8",9,10,58
"812","Plant9",6,4,58
"813","Plant1",6,28,59
"814","Plant10",4,11,59
"815","Plant11",12,17,59
"816","Plant12",3,12,59
"817","Plant13",3,9,59
"818","Plant14",1,3,59
"819","Plant2",50,14,59
"820","Plant3",27,13,59
"821","Plant4",11,16,59
"822","Plant5",3,20,59
"823","Plant6",22,14,59
"824","Plant7",6,4,59
"825","Plant8",9,10,59
"826","Plant9",6,11,59
"827","Plant1",6,36,60
"828","Plant10",4,8,60
"829","Plant11",12,15,60
"830","Plant12",3,6,60
"831","Plant13",3,5,60
"832","Plant14",1,4,60
"833","Plant2",50,23,60
"834","Plant3",27,9,60
"835","Plant4",11,13,60
"836","Plant5",3,13,60
"837","Plant6",22,15,60
"838","Plant7",6,6,60
"839","Plant8",9,8,60
"840","Plant9",6,11,60
"841","Plant1",6,31,61
"842","Plant10",4,12,61
"843","Plant11",12,13,61
"844","Plant12",3,6,61
"845","Plant13",3,7,61
"846","Plant14",1,7,61
"847","Plant2",50,12,61
"848","Plant3",27,8,61
"849","Plant4",11,16,61
"850","Plant5",3,7,61
"851","Plant6",22,11,61
"852","Plant7",6,3,61
"853","Plant8",9,11,61
"854","Plant9",6,12,61
"855","Plant1",6,24,62
"856","Plant10",4,10,62
"857","Plant11",12,12,62
"858","Plant12",3,11,62
"859","Plant13",3,6,62
"860","Plant14",1,3,62
"861","Plant2",50,16,62
"862","Plant3",27,17,62
"863","Plant4",11,4,62
"864","Plant5",3,19,62
"865","Plant6",22,12,62
"866","Plant7",6,8,62
"867","Plant8",9,14,62
"868","Plant9",6,19,62
"869","Plant1",6,28,63
"870","Plant10",4,12,63
"871","Plant11",12,13,63
"872","Plant12",3,10,63
"873","Plant13",3,5,63
"874","Plant14",1,5,63
"875","Plant2",50,10,63
"876","Plant3",27,11,63
"877","Plant4",11,9,63
"878","Plant5",3,15,63
"879","Plant6",22,12,63
"880","Plant7",6,4,63
"881","Plant8",9,14,63
"882","Plant9",6,5,63
"883","Plant1",6,25,64
"884","Plant10",4,4,64
"885","Plant11",12,17,64
"886","Plant12",3,15,64
"887","Plant13",3,5,64
"888","Plant14",1,8,64
"889","Plant2",50,11,64
"890","Plant3",27,15,64
"891","Plant4",11,12,64
"892","Plant5",3,13,64
"893","Plant6",22,6,64
"894","Plant7",6,4,64
"895","Plant8",9,9,64
"896","Plant9",6,11,64
"897","Plant1",6,33,65
"898","Plant10",4,10,65
"899","Plant11",12,8,65
"900","Plant12",3,11,65
"901","Plant13",3,6,65
"902","Plant14",1,6,65
"903","Plant2",50,9,65
"904","Plant3",27,11,65
"905","Plant4",11,11,65
"906","Plant5",3,13,65
"907","Plant6",22,11,65
"908","Plant7",6,2,65
"909","Plant8",9,14,65
"910","Plant9",6,8,65
"911","Plant1",6,28,66
"912","Plant10",4,10,66
"913","Plant11",12,12,66
"914","Plant12",3,14,66
"915","Plant13",3,6,66
"916","Plant14",1,3,66
"917","Plant2",50,9,66
"918","Plant3",27,15,66
"919","Plant4",11,15,66
"920","Plant5",3,13,66
"921","Plant6",22,15,66
"922","Plant7",6,7,66
"923","Plant8",9,9,66
"924","Plant9",6,10,66
"925","Plant1",6,29,67
"926","Plant10",4,14,67
"927","Plant11",12,8,67
"928","Plant12",3,11,67
"929","Plant13",3,5,67
"930","Plant14",1,4,67
"931","Plant2",50,17,67
"932","Plant3",27,16,67
"933","Plant4",11,9,67
"934","Plant5",3,16,67
"935","Plant6",22,9,67
"936","Plant7",6,8,67
"937","Plant8",9,10,67
"938","Plant9",6,11,67
"939","Plant1",6,29,68
"940","Plant10",4,7,68
"941","Plant11",12,11,68
"942","Plant12",3,12,68
"943","Plant13",3,6,68
"944","Plant14",1,6,68
"945","Plant2",50,17,68
"946","Plant3",27,19,68
"947","Plant4",11,10,68
"948","Plant5",3,16,68
"949","Plant6",22,17,68
"950","Plant7",6,3,68
"951","Plant8",9,11,68
"952","Plant9",6,6,68
"953","Plant1",6,33,69
"954","Plant10",4,9,69
"955","Plant11",12,11,69
"956","Plant12",3,8,69
"957","Plant13",3,9,69
"958","Plant14",1,3,69
"959","Plant2",50,20,69
"960","Plant3",27,12,69
"961","Plant4",11,20,69
"962","Plant5",3,10,69
"963","Plant6",22,14,69
"964","Plant7",6,5,69
"965","Plant8",9,12,69
"966","Plant9",6,7,69
"967","Plant1",6,27,70
"968","Plant10",4,11,70
"969","Plant11",12,21,70
"970","Plant12",3,15,70
"971","Plant13",3,4,70
"972","Plant14",1,6,70
"973","Plant2",50,20,70
"974","Plant3",27,15,70
"975","Plant4",11,11,70
"976","Plant5",3,19,70
"977","Plant6",22,11,70
"978","Plant7",6,9,70
"979","Plant8",9,10,70
"980","Plant9",6,12,70
"981","Plant1",6,27,71
"982","Plant10",4,10,71
"983","Plant11",12,10,71
"984","Plant12",3,6,71
"985","Plant13",3,6,71
"986","Plant14",1,2,71
"987","Plant2",50,11,71
"988","Plant3",27,18,71
"989","Plant4",11,11,71
"990","Plant5",3,17,71
"991","Plant6",22,19,71
"992","Plant7",6,6,71
"993","Plant8",9,10,71
"994","Plant9",6,14,71
"995","Plant1",6,30,72
"996","Plant10",4,6,72
"997","Plant11",12,15,72
"998","Plant12",3,7,72
"999","Plant13",3,7,72
"1000","Plant14",1,5,72
"1001","Plant2",50,11,72
"1002","Plant3",27,13,72
"1003","Plant4",11,16,72
"1004","Plant5",3,9,72
"1005","Plant6",22,12,72
"1006","Plant7",6,6,72
"1007","Plant8",9,9,72
"1008","Plant9",6,10,72
"1009","Plant1",6,28,73
"1010","Plant10",4,9,73
"1011","Plant11",12,8,73
"1012","Plant12",3,7,73
"1013","Plant13",3,8,73
"1014","Plant14",1,4,73
"1015","Plant2",50,14,73
"1016","Plant3",27,15,73
"1017","Plant4",11,14,73
"1018","Plant5",3,12,73
"1019","Plant6",22,17,73
"1020","Plant7",6,4,73
