"removal_fraction","rep","n_sites_kept","n_predators","n_resources","n_realised_links","n_cooc_links","n_expected_links_raw","n_expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned","mean_abs_species_error_raw","mean_abs_species_error_conditioned"
0.2,56,299,120,94,861,2953,782.446131497259,818.0938790201,78.5538685027412,0.100395241717693,42.9061209799005,0.0524464515384137,1.78053048400945,1.73511200640447
0.2,57,299,118,92,849,2814,755.076134207195,792.716438305245,93.923865792805,0.124389927767247,56.2835616947546,0.0710008761961384,1.84114126458605,1.78074827221942
0.2,58,299,115,92,866,2900,770.859227619657,803.855099735268,95.1407723803435,0.123421720816821,62.1449002647319,0.0773085849492003,1.96977783066384,1.88910846631403
0.2,59,299,117,93,859,2902,790.564688987803,826.107531917077,68.4353110121971,0.0865650995617045,32.8924680829234,0.0398162065010988,1.8313244728028,1.73617325821289
0.2,60,299,115,93,833,2805,723.618935105646,758.384798606042,109.381064894354,0.151158378516429,74.6152013939579,0.098386995007159,1.81119604931072,1.76830834763059
0.2,61,299,116,94,853,2841,755.129991819496,789.539063207139,97.8700081805038,0.129606834903597,63.460936792861,0.0803771969623393,1.87490006399155,1.81961168892169
0.2,62,299,122,93,857,2920,758.081593102193,796.197506807392,98.9184068978075,0.130485171778169,60.802493192608,0.0763660934287713,1.79390175000124,1.72019093165931
0.2,63,299,112,93,841,2759,756.619791076936,789.850740886366,84.3802089230638,0.111522603450487,51.1492591136338,0.0647581327280067,1.86071598525881,1.80304140478429
0.2,64,299,113,93,802,2677,700.223117668241,735.72881161716,101.776882331759,0.145349217647481,66.2711883828404,0.0900755649859271,1.77948642898023,1.70012595292156
0.2,65,299,117,93,859,2850,766.047352180316,801.50682464112,92.9526478196842,0.121340603234413,57.4931753588796,0.0717313609707847,1.87017799077172,1.79437564640125
0.2,66,299,117,94,837,2742,725.808084525721,764.299456414106,111.191915474279,0.153197405546863,72.7005435858943,0.0951204962607017,1.85806494544104,1.76866832513255
0.2,67,299,114,92,820,2740,718.497797130738,753.148198398655,101.502202869262,0.141270026539542,66.8518016013453,0.0887631434868805,1.81639923499875,1.74143589857628
0.2,68,299,114,93,837,2747,740.262978739463,776.188266829952,96.7370212605373,0.130679264043791,60.8117331700479,0.0783466277046553,1.87421366216974,1.75222980549861
0.2,69,299,118,94,889,3005,817.181813434086,852.129641988012,71.8181865659138,0.0878851993341708,36.8703580119878,0.0432684842719114,1.85147294429015,1.79154293185998
0.2,70,299,113,93,818,2803,763.808768761242,797.072794055838,54.1912312387584,0.0709486895871158,20.9272059441619,0.0262550749445048,1.71352225880967,1.67197408604592
0.2,71,299,117,94,863,2955,800.541319117867,835.198888191882,62.4586808821334,0.0780205585777358,27.8011118081178,0.0332868161119135,1.83726334789497,1.76469071887742
0.2,72,299,108,92,822,2673,715.19346524027,747.446469381549,106.80653475973,0.149339360537709,74.5535306184514,0.0997443076828477,2.01218966934969,1.90745564503678
0.2,73,299,109,93,819,2689,686.110431398855,718.654974898968,132.889568601145,0.19368539307908,100.345025101032,0.139628929884106,1.89606591839101,1.82300430549038
0.2,74,299,111,91,816,2655,725.250174892118,760.438369623279,90.7498251078815,0.125128994448544,55.5616303767206,0.0730652641899774,1.8465939178196,1.74262674856932
0.2,75,299,118,91,843,2816,745.59099588078,782.552386749397,97.4090041192204,0.130646701284462,60.447613250603,0.077244174670137,1.76327150919429,1.69075128398957
0.2,76,299,116,92,818,2676,701.516640573339,740.829506786455,116.483359426661,0.166045041114721,77.1704932135453,0.104167682991317,1.92618966434168,1.82807640310993
0.2,77,299,120,94,850,2820,741.889028759335,779.461673940985,108.110971240665,0.145723911595592,70.5383260590148,0.0904962083669497,1.8159331704617,1.74976502765268
0.2,78,299,113,93,841,2832,774.937802674599,809.625511831347,66.0621973254014,0.0852483865123061,31.374488168653,0.0387518521960664,1.94736446962931,1.84765898867375
0.2,79,299,115,94,857,2814,743.935977678798,778.274678211914,113.064022321202,0.151980850118286,78.7253217880856,0.101153646639201,1.83550990697793,1.74783438528196
0.2,80,299,116,93,874,2988,794.019681892808,827.092572344588,79.9803181071918,0.100728382345048,46.9074276554124,0.0567136366881429,1.9536948873085,1.86687244390897
0.2,81,299,116,91,829,2694,726.912338936869,761.820808206437,102.087661063131,0.140440126814242,67.1791917935632,0.0881824059803826,1.8292812539976,1.76735205662361
0.2,82,299,116,92,844,2844,777.166680640332,812.16594028641,66.8333193596679,0.0859961202976456,31.8340597135905,0.0391964968419683,1.84032598044516,1.77849402837698
0.2,83,299,114,94,826,2727,728.711348348426,764.894070781542,97.2886516515745,0.133507803703171,61.1059292184582,0.0798880937278312,1.95403754286727,1.85494655576447
0.2,84,299,108,91,769,2462,646.180220969133,681.940408836454,122.819779030867,0.190070471124393,87.0595911635462,0.127664514428892,1.9097069074741,1.78027135796508
0.2,85,299,111,93,843,2744,761.660677108061,796.924698662908,81.3393228919393,0.106792073342654,46.0753013370924,0.0578163801603818,1.8602264817058,1.73238677915117
0.2,86,299,120,91,820,2722,728.888784788075,767.306690630938,91.1112152119247,0.125000160673916,52.6933093690617,0.0686730742901945,1.81087895838902,1.72553678995926
0.2,87,299,121,92,847,2895,788.261740629835,825.111873148274,58.7382593701648,0.0745161871274278,21.8881268517256,0.0265274656250065,1.7438815677921,1.68883149857257
0.2,88,299,120,92,859,2919,768.257522757703,805.399264952265,90.742477242297,0.11811466149602,53.6007350477349,0.0665517556077131,1.74554415554674,1.67485087639462
0.2,89,299,115,94,837,2915,791.543446166133,824.519790874007,45.4565538338666,0.0574277432957557,12.4802091259929,0.0151363366460418,1.78640296847488,1.76840563025727
0.2,90,299,118,94,829,2777,722.445736067886,760.393997049591,106.554263932114,0.147491027508953,68.6060029504093,0.0902242826963494,1.99333970706282,1.899631391148
0.2,91,299,114,93,822,2767,758.074642703228,791.548454062666,63.9253572967721,0.0843259406076687,30.4515459373342,0.0384708551713291,1.81093204622345,1.76681813253591
0.2,92,299,114,93,850,2784,741.865359222779,776.585110767248,108.134640777221,0.1457604664147,73.414889232752,0.0945355354034792,1.95792311145717,1.87019218285364
0.2,93,299,116,94,845,2819,749.219121235259,786.038310213328,95.7808787647409,0.127840942722904,58.961689786672,0.0750112164007248,1.84626615218963,1.74991564667588
0.2,94,299,118,93,856,2875,761.607912165455,797.552364691274,94.3920878345446,0.123937903384121,58.4476353087257,0.073283759031108,1.82440219382258,1.75079985879382
0.2,95,299,116,92,848,2839,758.095645292376,792.996142121413,89.904354707624,0.118592363992475,55.0038578785866,0.0693620749924974,1.8165284814654,1.75809767581524
0.2,96,299,112,93,843,2805,733.219858261406,765.660197096825,109.780141738594,0.149723361283344,77.3398029031749,0.101010609140225,1.83058467367221,1.7617623796418
