"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
158,921,1.35613463626493,1,3,7,0.763300760043431,0.423803563082644,0.333333333333333
159,911,1.39187705817783,1,3,6,0.740944017563117,0.433294560030621,0.333333333333333
160,912,1.38267543859649,1,3,6,0.735745614035088,0.416386522085088,0.285714285714286
161,898,1.38752783964365,1,3,8,0.742761692650334,0.423628422556626,0.333333333333333
162,902,1.3980044345898,1,3,8,0.749445676274945,0.430714843308538,0.333333333333333
163,890,1.36516853932584,1,3,6,0.752808988764045,0.413527040738464,0.3
164,915,1.3103825136612,1,3,6,0.781420765027322,0.412298937186833,0.333333333333333
165,924,1.4004329004329,1,3,7,0.747835497835498,0.43845809654233,0.333333333333333
166,901,1.338512763596,1,3,6,0.756936736958934,0.429524514838506,0.333333333333333
167,903,1.36101882613511,1,3,8,0.758582502768549,0.433826652327645,0.333333333333333
168,910,1.40769230769231,1,3,7,0.734065934065934,0.428295785504679,0.333333333333333
169,852,1.36384976525822,1,3,8,0.751173708920188,0.421687334952247,0.285714285714286
170,899,1.38153503893215,1,3,7,0.744160177975528,0.415452433205203,0.333333333333333
171,883,1.37938844847112,1,3,7,0.763306908267271,0.432244116004308,0.333333333333333
172,904,1.38274336283186,1,3,6,0.740044247787611,0.431844253461158,0.333333333333333
173,890,1.40337078651685,1,3,7,0.743820224719101,0.432013164232399,0.333333333333333
174,900,1.36111111111111,1,3,7,0.754444444444444,0.424629158797462,0.333333333333333
175,876,1.42351598173516,1,3,6,0.710045662100457,0.421659703243551,0.333333333333333
176,877,1.4036488027366,1,3,8,0.75484606613455,0.429920185247305,0.333333333333333
177,925,1.38486486486486,1,3,7,0.743783783783784,0.430527671643181,0.333333333333333
178,918,1.40196078431373,1,3,8,0.733115468409586,0.432441885418806,0.333333333333333
179,919,1.42981501632209,1,3,7,0.702937976060936,0.433109475567226,0.333333333333333
180,890,1.38876404494382,1,3,6,0.737078651685393,0.422557623828117,0.333333333333333
181,921,1.33116178067318,1,3,6,0.765472312703583,0.431328069400114,0.333333333333333
182,876,1.40639269406393,1,3,7,0.747716894977169,0.431115787901992,0.333333333333333
183,911,1.37980241492865,1,3,8,0.748627881448957,0.432905404264664,0.333333333333333
184,928,1.37284482758621,1,3,8,0.747844827586207,0.438599376182209,0.333333333333333
185,897,1.40022296544036,1,3,8,0.740245261984392,0.428372092969724,0.333333333333333
186,910,1.39450549450549,1,3,11,0.731868131868132,0.438793216575277,0.333333333333333
187,882,1.3843537414966,1,3,9,0.740362811791383,0.432210229755078,0.333333333333333
188,913,1.40416210295728,1,3,8,0.738225629791895,0.419856378787126,0.333333333333333
189,941,1.3740701381509,1,3,7,0.749202975557917,0.432782640675637,0.333333333333333
190,924,1.37445887445887,1,3,6,0.742424242424242,0.427637174279384,0.333333333333333
191,906,1.38852097130243,1,3,7,0.742825607064018,0.427031646777975,0.333333333333333
192,897,1.37458193979933,1,3,7,0.748049052396878,0.424256356873392,0.333333333333333
193,904,1.40154867256637,1,3,6,0.735619469026549,0.443825139858151,0.333333333333333
194,923,1.37486457204767,1,3,9,0.76489707475623,0.417811568540159,0.333333333333333
195,880,1.3875,1,3,7,0.735227272727273,0.428148717895107,0.333333333333333
196,890,1.40337078651685,1,3,6,0.726966292134831,0.429239509063182,0.310096153846154
197,884,1.41289592760181,1,3,9,0.73868778280543,0.414519697446913,0.32051282051282
198,856,1.3785046728972,1,3,8,0.766355140186916,0.422609584417447,0.333333333333333
199,902,1.38248337028825,1,3,8,0.738359201773836,0.418760349157064,0.333333333333333
200,917,1.38822246455834,1,3,9,0.753544165757906,0.428238990289605,0.333333333333333
201,887,1.34160090191657,1,3,5,0.76662908680947,0.418518505851189,0.333333333333333
202,862,1.38167053364269,1,3,7,0.750580046403712,0.412749366391371,0.272727272727273
203,872,1.40596330275229,1,3,7,0.731651376146789,0.404795587017119,0.3
204,892,1.42713004484305,1,3,7,0.724215246636771,0.421278290892227,0.333333333333333
205,912,1.41118421052632,1,3,12,0.740131578947368,0.433226889064292,0.333333333333333
206,896,1.43638392857143,1,3,7,0.713169642857143,0.431215345982684,0.333333333333333
207,898,1.39086859688196,1,3,6,0.743875278396437,0.438943725426495,0.333333333333333
208,864,1.38310185185185,1,3,6,0.74537037037037,0.425470927540997,0.333333333333333
209,929,1.3702906350915,1,3,9,0.753498385360603,0.4173454508763,0.333333333333333
210,917,1.34460196292257,1,3,6,0.751363140676118,0.421877570917206,0.3
211,904,1.39601769911504,1,3,7,0.746681415929204,0.426280933116098,0.333333333333333
212,902,1.40354767184035,1,3,7,0.727272727272727,0.41868693809917,0.333333333333333
213,904,1.44800884955752,1,3,6,0.695796460176991,0.437528301712128,0.333333333333333
214,904,1.34181415929204,1,3,10,0.773230088495575,0.421333890012565,0.307692307692308
215,886,1.3961625282167,1,3,8,0.735891647855531,0.423950952316753,0.333333333333333
216,897,1.41025641025641,1,3,8,0.736900780379041,0.430307546935518,0.333333333333333
217,903,1.36987818383167,1,3,6,0.760797342192691,0.414368018484582,0.333333333333333
218,920,1.34130434782609,1,3,6,0.772826086956522,0.438698631646642,0.333333333333333
219,903,1.38870431893688,1,3,6,0.755260243632337,0.443084415426518,0.333333333333333
220,878,1.4248291571754,1,3,8,0.738041002277904,0.418545371608946,0.292857142857143
221,906,1.41059602649007,1,3,11,0.719646799116998,0.421549284024887,0.333333333333333
222,914,1.38621444201313,1,3,9,0.74507658643326,0.407343906015122,0.285714285714286
223,904,1.36725663716814,1,3,7,0.756637168141593,0.425238430720922,0.333333333333333
224,872,1.41628440366972,1,3,8,0.717889908256881,0.421432116893268,0.285714285714286
225,906,1.40286975717439,1,3,9,0.741721854304636,0.432033664507938,0.333333333333333
226,866,1.37990762124711,1,3,7,0.739030023094688,0.419977360168583,0.333333333333333
227,918,1.3562091503268,1,3,8,0.76797385620915,0.436117436389444,0.333333333333333
228,909,1.38613861386139,1,3,8,0.744774477447745,0.43368757531007,0.333333333333333
229,933,1.34297963558414,1,3,7,0.765273311897106,0.426419171430283,0.307692307692308
230,909,1.36083608360836,1,3,6,0.767876787678768,0.416321392408742,0.333333333333333
231,911,1.39846322722283,1,3,7,0.746432491767289,0.428930678690863,0.333333333333333
232,922,1.40347071583514,1,3,7,0.725596529284165,0.419076652200416,0.333333333333333
233,897,1.39241917502787,1,3,8,0.748049052396878,0.442443083311377,0.333333333333333
234,884,1.42194570135747,1,3,8,0.73868778280543,0.420844330327017,0.333333333333333
235,863,1.3928157589803,1,3,7,0.73928157589803,0.408947605770484,0.285714285714286
236,949,1.36670179135933,1,3,6,0.765015806111697,0.419339635911101,0.333333333333333
237,919,1.39499455930359,1,3,7,0.730141458106638,0.427464109969772,0.307692307692308
