"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Bracsp","Eweiff",2,2,1,"empirical",NA
"Broman","Egemmh",2,8,0.25,"empirical",NA
"Broman","Elappc",3,7,0.428571428571429,"empirical",NA
"Broman","Oaacut",1,1,1,"empirical",NA
"Broman","Oarcti",1,7,0.142857142857143,"empirical",NA
"Broman","Obella",2,3,0.666666666666667,"empirical",NA
"Broman","Obrevi",3,3,1,"empirical",NA
"Broman","Obridg",2,9,0.222222222222222,"empirical",NA
"Broman","Odolic",5,7,0.714285714285714,"empirical",NA
"Broman","Ofoeti",6,11,0.545454545454545,"empirical",NA
"Broman","Ogalla",1,1,1,"empirical",NA
"Broman","Oglabr",5,8,0.625,"empirical",NA
"Broman","Oglauc",2,3,0.666666666666667,"empirical",NA
"Broman","Ohasta",7,15,0.466666666666667,"empirical",NA
"Broman","Oherba",8,8,1,"empirical",NA
"Broman","Okriec",1,2,0.5,"empirical",NA
"Broman","Olappl",5,12,0.416666666666667,"empirical",NA
"Broman","Olappo",5,11,0.454545454545455,"empirical",NA
"Broman","Omacul",3,8,0.375,"empirical",NA
"Broman","Omonti",1,2,0.5,"empirical",NA
"Broman","Omyrsi",4,5,0.8,"empirical",NA
"Broman","Onigri",3,6,0.5,"empirical",NA
"Broman","Onival",6,16,0.375,"empirical",NA
"Broman","Oobscu",6,10,0.6,"empirical",NA
"Broman","Oproxi",1,3,0.333333333333333,"empirical",NA
"Broman","Oretic",7,8,0.875,"empirical",NA
"Broman","Oretus",4,4,1,"empirical",NA
"Broman","Osamol",5,11,0.454545454545455,"empirical",NA
"Broman","Ospeit",1,1,1,"empirical",NA
"Broman","Ovaria",7,15,0.466666666666667,"empirical",NA
"Broman","Ovesic",1,3,0.333333333333333,"empirical",NA
"Broman","Ovimin",4,9,0.444444444444444,"empirical",NA
"Campop","Ogalla",1,1,1,"empirical",NA
"Ccruxx","Eaurit",1,2,0.5,"empirical",NA
"Ccruxx","Eelaea",3,7,0.428571428571429,"empirical",NA
"Ccruxx","Emucro",2,4,0.5,"empirical",NA
"Ccruxx","Enigri",1,2,0.5,"empirical",NA
"Ccruxx","Etesta",2,2,1,"empirical",NA
"Ccruxx","Evenus",2,2,1,"empirical",NA
"Ccruxx","Oadaph",8,9,0.888888888888889,"empirical",NA
"Ccruxx","Oarcti",2,2,1,"empirical",NA
"Ccruxx","Obella",1,2,0.5,"empirical",NA
"Ccruxx","Obridg",10,14,0.714285714285714,"empirical",NA
"Ccruxx","Ocolla",6,6,1,"empirical",NA
"Ccruxx","Oelaea",3,3,1,"empirical",NA
"Ccruxx","Ofoeti",1,3,0.333333333333333,"empirical",NA
"Ccruxx","Ogalla",4,4,1,"empirical",NA
"Ccruxx","Okriec",7,9,0.777777777777778,"empirical",NA
"Ccruxx","Onigri",2,2,1,"empirical",NA
"Ccruxx","Opedun",10,10,1,"empirical",NA
"Ccruxx","Opprox",2,2,1,"empirical",NA
"Ccruxx","Oproxi",26,27,0.962962962962963,"empirical",NA
"Ccruxx","Opustu",1,1,1,"empirical",NA
"Ccruxx","Otrian",4,7,0.571428571428571,"empirical",NA
"Ccruxx","Ovaria",10,12,0.833333333333333,"empirical",NA
"Ccruxx","Ovesic",6,11,0.545454545454545,"empirical",NA
