"","species","interactions","potential_prey","prob_expected","prob_int","expected_indegree","relative_N_alpha"
"126","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"127","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"128","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"129","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"130","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"131","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"132","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"133","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"134","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"135","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"136","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"137","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"138","Cacoxenus.indagator",1,"Ancistrocerus.nigricornis",0.659158833420172,0.659157443922536,9.38174962586005,4.59459459459459
"139","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"140","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"141","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"142","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"143","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"144","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"145","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"146","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"147","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"148","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"149","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"150","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"151","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"152","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"153","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"154","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"155","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
