"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
264,101,1.32673267326733,1,3,5,0.782178217821782,0.344830279578157,0.285714285714286
265,107,1.20560747663551,1,2,3,0.831775700934579,0.328554212216867,0.25
266,105,1.27619047619048,1,3,3,0.79047619047619,0.350530440459012,0.285714285714286
267,99,1.25252525252525,1,2,4,0.797979797979798,0.349113191407731,0.25
268,104,1.30769230769231,1,3,4,0.798076923076923,0.353679992822795,0.25
269,106,1.28301886792453,1,2,4,0.773584905660377,0.376834033634518,0.25
270,99,1.26262626262626,1,3,4,0.818181818181818,0.3550362961546,0.25
271,100,1.22,1,2,3,0.79,0.354051324389405,0.236111111111111
272,100,1.23,1,2,4,0.82,0.319164345131992,0.25
273,109,1.22018348623853,1,2,3,0.81651376146789,0.359747500466321,0.214285714285714
274,98,1.21428571428571,1,2,4,0.846938775510204,0.380086041023837,0.25
275,120,1.18333333333333,1,2,3,0.833333333333333,0.348749301860563,0.25
276,107,1.31775700934579,1,3,3,0.766355140186916,0.355118805873197,0.25
277,115,1.28695652173913,1,3,4,0.808695652173913,0.365775146519325,0.25
278,93,1.25806451612903,1,2,4,0.795698924731183,0.354156723123816,0.25
279,101,1.1980198019802,1,2,4,0.841584158415842,0.356494145655167,0.285714285714286
280,123,1.1869918699187,1,2,3,0.861788617886179,0.358675821983985,0.25
281,110,1.25454545454545,1,2,4,0.790909090909091,0.363353595360139,0.25
282,109,1.23853211009174,1,2,5,0.81651376146789,0.359894633372422,0.25
283,102,1.24509803921569,1,2,5,0.833333333333333,0.399116524162281,0.25
284,101,1.24752475247525,1,2,3,0.782178217821782,0.333473538640905,0.25
285,96,1.17708333333333,1,2,4,0.84375,0.364148392859935,0.25
286,113,1.30088495575221,1,3,5,0.79646017699115,0.364393768502306,0.25
287,108,1.22222222222222,1,2,3,0.805555555555556,0.318867371790703,0.2
288,107,1.21495327102804,1,2,5,0.813084112149533,0.403594162701972,0.25
289,105,1.27619047619048,1,2,4,0.771428571428571,0.375972973133964,0.333333333333333
290,108,1.18518518518519,1,2,3,0.842592592592593,0.346330758379907,0.25
291,108,1.2962962962963,1,2.64999999999999,4,0.768518518518518,0.345817909611124,0.25
292,98,1.21428571428571,1,2,3,0.826530612244898,0.377990618553186,0.25
293,108,1.26851851851852,1,2,5,0.805555555555556,0.356918948481986,0.25
294,111,1.23423423423423,1,2,3,0.801801801801802,0.331521319276737,0.2
295,94,1.24468085106383,1,2,3,0.776595744680851,0.334349945482282,0.25
296,103,1.22330097087379,1,2,5,0.83495145631068,0.352955166241409,0.25
297,100,1.29,1,2.05,4,0.79,0.355502056277056,0.25
298,103,1.24271844660194,1,2,4,0.815533980582524,0.352686288324345,0.25
299,94,1.20212765957447,1,2,4,0.861702127659574,0.353936246968162,0.2
300,104,1.35576923076923,1,3,4,0.75,0.35047803761426,0.276190476190476
301,93,1.27956989247312,1,3,6,0.827956989247312,0.396986737707551,0.25
302,109,1.22018348623853,1,3,4,0.853211009174312,0.364732538758301,0.25
303,109,1.26605504587156,1,2.59999999999999,6,0.81651376146789,0.352629642451482,0.25
304,118,1.29661016949153,1,3,4,0.788135593220339,0.379771637563197,0.25
305,104,1.23076923076923,1,2,3,0.798076923076923,0.405824763686606,0.25
306,103,1.24271844660194,1,2,4,0.805825242718447,0.363821867112618,0.25
307,111,1.27927927927928,1,2,4,0.774774774774775,0.366621178192386,0.25
308,109,1.32110091743119,1,3,7,0.779816513761468,0.370973504731919,0.285714285714286
309,112,1.29464285714286,1,2.44999999999999,4,0.785714285714286,0.378636013615973,0.25
310,94,1.27659574468085,1,2.34999999999999,4,0.787234042553192,0.326094356216137,0.25
311,94,1.32978723404255,1,2.34999999999999,6,0.765957446808511,0.361604120643133,0.25
312,100,1.31,1,3,4,0.78,0.34649440658241,0.25
313,113,1.25663716814159,1,2,5,0.823008849557522,0.370288811209795,0.25
314,109,1.29357798165138,1,3,4,0.807339449541284,0.366985014950334,0.25
315,118,1.27966101694915,1,3,4,0.805084745762712,0.385541296574316,0.25
316,119,1.21008403361345,1,2,3,0.80672268907563,0.354306382464798,0.25
317,102,1.30392156862745,1,3,4,0.774509803921569,0.365475456186165,0.25
318,106,1.26415094339623,1,3,4,0.820754716981132,0.300815438690899,0.2
319,111,1.23423423423423,1,2,3,0.801801801801802,0.384923890961043,0.272727272727273
320,105,1.28571428571429,1,2,5,0.79047619047619,0.358261982092146,0.25
321,104,1.26923076923077,1,2,4,0.788461538461538,0.334730700585964,0.25
322,109,1.18348623853211,1,2,3,0.853211009174312,0.332943754298172,0.25
323,104,1.25,1,2.84999999999999,4,0.826923076923077,0.391932506025966,0.30952380952381
324,126,1.25396825396825,1,2,5,0.793650793650794,0.410154673246226,0.285714285714286
325,97,1.28865979381443,1,3,5,0.814432989690722,0.344475717957812,0.25
326,110,1.2,1,2,6,0.872727272727273,0.372689043139367,0.267857142857143
327,106,1.23584905660377,1,2,4,0.830188679245283,0.375586235562505,0.25
328,94,1.23404255319149,1,2.34999999999999,3,0.819148936170213,0.360693482982117,0.25
329,109,1.26605504587156,1,2.59999999999999,3,0.788990825688073,0.323944080200009,0.25
330,104,1.35576923076923,1,3,6,0.788461538461538,0.345795434463198,0.25
331,101,1.26732673267327,1,2,3,0.782178217821782,0.344921291001281,0.25
332,106,1.21698113207547,1,2,3,0.80188679245283,0.398221613146477,0.333333333333333
333,117,1.17948717948718,1,2,4,0.863247863247863,0.392476238835888,0.25
334,129,1.1937984496124,1,2,4,0.852713178294574,0.358840532392624,0.25
335,104,1.18269230769231,1,2,3,0.836538461538462,0.349169239987738,0.25
336,107,1.22429906542056,1,2,3,0.794392523364486,0.363488235953804,0.25
337,96,1.27083333333333,1,2,5,0.78125,0.380567220608339,0.25
338,108,1.23148148148148,1,2,3,0.805555555555556,0.389349010854859,0.30952380952381
339,102,1.36274509803922,1,3,5,0.774509803921569,0.362930416811313,0.244047619047619
340,102,1.20588235294118,1,2,3,0.823529411764706,0.368593460776123,0.25
341,103,1.24271844660194,1,2.89999999999999,4,0.825242718446602,0.336254214465086,0.222222222222222
342,102,1.15686274509804,1,2,4,0.872549019607843,0.354699227206284,0.25
343,99,1.25252525252525,1,3,3,0.808080808080808,0.338385583640767,0.25
344,113,1.11504424778761,1,2,5,0.920353982300885,0.373341440554994,0.25
345,105,1.19047619047619,1,2,3,0.838095238095238,0.334643362608201,0.2
346,108,1.32407407407407,1,2.64999999999999,5,0.768518518518518,0.364112393717012,0.25
347,109,1.25688073394495,1,2,3,0.788990825688073,0.351687593609939,0.25
348,132,1.21212121212121,1,2,5,0.840909090909091,0.378938159454976,0.25
349,120,1.31666666666667,1,3,7,0.841666666666667,0.361231939958333,0.25
350,103,1.2621359223301,1,3,5,0.825242718446602,0.376669361694911,0.25
351,101,1.36633663366337,1,3,8,0.772277227722772,0.355084727070673,0.25
352,112,1.25892857142857,1,3,5,0.821428571428571,0.378561051513907,0.333333333333333
353,99,1.25252525252525,1,3,4,0.828282828282828,0.341180442937409,0.25
354,102,1.23529411764706,1,2,4,0.813725490196078,0.416756194863097,0.285714285714286
355,105,1.24761904761905,1,2,6,0.857142857142857,0.352009652558525,0.25
356,102,1.27450980392157,1,2.94999999999999,4,0.803921568627451,0.376787048074382,0.25
357,105,1.20952380952381,1,2,4,0.819047619047619,0.288727828824246,0.2
358,119,1.22689075630252,1,2,4,0.815126050420168,0.401502050205578,0.333333333333333
359,108,1.25925925925926,1,2,4,0.805555555555556,0.314442672337409,0.2
360,111,1.1981981981982,1,2,3,0.81981981981982,0.373252678113359,0.25
361,112,1.17857142857143,1,2,4,0.848214285714286,0.385894835505973,0.25
362,112,1.28571428571429,1,2,3,0.75,0.38552575595629,0.333333333333333
363,111,1.31531531531532,1,3,4,0.774774774774775,0.378274976959187,0.25
364,106,1.24528301886792,1,2,3,0.80188679245283,0.38059832930795,0.25
365,102,1.2156862745098,1,2,3,0.833333333333333,0.32223890788451,0.25
366,110,1.34545454545455,1,3,7,0.827272727272727,0.39444462405812,0.333333333333333
367,103,1.33009708737864,1,3,9,0.815533980582524,0.331129670306983,0.25
368,111,1.35135135135135,1,3,5,0.774774774774775,0.375107743644895,0.25
369,99,1.37373737373737,1,3,4,0.757575757575758,0.374570435297989,0.25
